user,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
62,83827,1648,3679,60516,136016,1703,8620,159441,1972,117851
587,77191,71211,127204,8968,4021,3446,55577,937,6744,171
610,78316,102,685,145839,3325,109569,2807,159858,159441,73319
101,159858,49772,7116,3163,6650,6566,606,4703,691,60941
604,2549,3628,32584,3769,3470,1646,1007,5414,8199,160271
599,127052,141830,133712,109569,104875,102,160567,141544,159858,159441
68,78316,90531,2674,135436,127096,171867,26326,879,92439,665
294,3719,581,1733,7069,94015,74508,73344,60408,4268,151739
339,3225,2828,8610,343,4474,2977,92391,146656,2068,7215
140,48342,8605,7319,79798,1971,6975,2971,6270,4133,2882
