user,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
129,5470,77191,71211,127204,3628,31116,123,3706,4440,3769
152,5222,3557,5205,7327,91653,100163,2888,72171,4900,63
316,528,888,6093,881,2771,160954,98083,1099,156609,4703
583,3695,577,4787,5666,5427,2817,49276,2073,97860,3758
416,118900,42013,5891,2582,1128,704,473,31221,639,1599
496,2525,135861,4676,139642,3947,5882,487,564,347,6566
203,88746,2575,2314,156726,65982,149352,1582,4043,135536,136602
202,100714,81819,828,1341,94503,3929,160567,103543,141544,1363
328,179211,131826,1703,57274,1487,44193,69069,6994,71379,6332
291,7155,8526,89190,117881,2050,65130,69640,165549,85881,32298
