user,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
536,45361,79251,5668,3235,7013,67295,1366,711,4159,1936
411,101577,85401,97172,4663,1034,3928,91325,6169,112897,120635
136,42013,6880,2445,6063,36537,3930,5788,4857,1279,2828
401,101112,61289,3908,5049,143859,3097,2038,44788,2807,72294
173,6405,5497,31804,2902,42009,87867,1323,2879,3598,44828
552,1361,6055,50851,173145,157312,867,118700,4947,109569,180095
225,168492,2068,3727,111921,26865,3690,79553,7386,117192,6785
108,57951,132422,66943,7381,4957,77800,71579,51024,7259,6093
246,1992,2815,4535,89087,2582,3024,1718,1353,140928,8827
351,1998,74508,1341,103543,1999,1626,2789,3325,656,3075
