user,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
210,5205,8951,62250,107565,2239,7015,3150,103543,4133,4833
493,168254,64032,1731,4241,63479,2585,7294,95449,50189,173291
320,111921,52885,74868,8967,4792,7001,130576,164909,5319,1609
272,104218,140247,2782,760,69278,2504,105197,8253,33669,127096
578,68073,91323,141866,47725,4248,2007,88235,48744,26865,41863
575,3577,2203,867,5480,74154,6060,1703,6436,3446,130490
164,1916,7834,6774,6538,33880,7215,187,100714,27685,2469
2,5093,3266,48342,98491,27912,4725,2596,98203,162606,3516
75,217,8928,5113,2943,1545,4792,53127,1627,73319,26171
270,2625,6060,45382,665,5075,7294,6183,1454,156609,2810
