user,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
74,2102,3528,127096,113378,6732,7649,132422,66943,167018,8827
586,49132,7728,94478,68073,3017,86142,3075,3142,139642,187031
509,2971,171867,103543,160567,141544,4792,64032,73319,8604,109569
593,8605,101765,87876,4663,101577,99106,44193,6169,114762,103543
215,4518,3991,4021,528,2363,8199,104218,5539,2978,58376
222,135436,213,45175,2477,2927,126,3538,162600,3528,71668
271,1006,190,6040,665,2327,132046,8493,3983,5074,1361
567,82499,685,692,60753,64,3822,116,115877,8199,31433
408,63479,87867,88746,118997,94833,96020,126,83803,72129,149352
420,26471,8604,3182,57951,26375,8372,103543,118900,71732,147372
