user,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
548,98083,166568,6290,3557,2024,1686,1306,2828,2381,3011
262,122898,62644,6880,1128,58315,619,63853,3502,7228,3767
515,4293,165549,3401,3925,7650,7000,7118,58376,3181,3764
348,148172,2899,867,98203,179817,108689,26409,82499,101577,147372
538,6791,3844,51080,7982,162478,70641,5564,4471,44974,116799
413,4195,70994,6959,98083,34336,8866,8363,93,8604,51080
196,6616,2518,2040,62250,1279,1286,1010,87867,102,1948
501,2365,6252,30848,6558,332,136598,1602,1415,38304,39381
341,4442,2525,4748,159441,6370,60293,165947,2522,2540,6143
26,3445,3928,67295,938,6624,1939,6093,6148,27408,3682
