user,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
59,5387,112804,26504,6332,8870,79224,55250,58655,43904,122898
526,5993,54004,26375,4317,58299,2514,68959,3466,33830,53024
345,2492,2488,330,87483,2906,6410,55814,171,5480,69069
46,1755,130490,4429,8968,7079,619,25841,67295,101577,44004
373,47404,8008,26409,101962,72294,6858,118888,937,8743,101577
281,1107,3064,46572,6808,3627,102378,98279,165101,4526,7067
537,2696,3394,48982,41571,55241,60941,2159,2269,33834,388
131,7294,1130,3799,199,107069,6014,164909,212,91325,26865
224,6666,305,160567,141544,1602,2475,7700,735,62644,718
315,3841,26765,91660,62293,156609,93443,3677,93831,67408,4703
