user,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
311,74685,88746,389,2752,3594,5644,8951,89118,117109,149352
94,8620,54734,107702,71205,127136,62293,6060,2038,95377,33154
430,102,2943,1545,142448,8574,1855,5735,78637,114060,59143
126,98154,139642,60128,2506,92509,6750,512,95449,5569,2331
12,1862,4876,5048,103249,4845,1399,5222,4954,113453,326
444,274,3538,101577,32460,71205,3401,212,36363,108156,6994
5,170875,58303,2563,120799,148172,170355,3766,93272,8943,4012
349,82053,7448,160271,5075,112497,92264,61236,130490,487,116977
214,1701,180985,1966,58162,2159,2488,1646,901,2103,73015
13,2810,85885,4293,27618,8796,3453,110771,160271,4207,4516
