user,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
301,165549,147374,4160,120799,3726,147372,1341,70336,139855,147382
24,92391,122884,95543,142422,8848,1981,1341,60408,148172,87867
331,1755,86817,122896,73290,7720,1642,1363,160567,141544,8869
421,120799,1703,52730,78637,139717,103819,142222,73929,97172,55553
450,2265,62644,5882,72733,80693,945,106438,104218,3746,4219
428,46337,119155,73290,1606,1004,73319,160565,113378,1605,31433
99,94018,91842,2034,528,7983,8491,92938,3287,2363,7048
282,145839,70641,5564,117192,61255,74275,108156,3929,3673,126
185,456,1964,3577,8605,213,1582,3430,813,1798,185029
86,42418,8121,53550,3306,5483,54734,55253,63062,1484,2092
