user,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
601,3743,3797,101577,94953,879,3673,55245,881,6235,1353
139,110127,4021,5637,94503,74685,119655,104129,4350,180985,8604
64,78637,127096,3727,7017,4142,1363,3912,8869,103543,73319
183,4535,58554,82,119655,104129,49132,68073,147374,27434,2445
434,46337,166492,8869,159441,165947,164200,73319,115877,117192,879
494,6975,5460,100714,416,86548,73929,1783,3719,53466,113378
300,51077,5527,95377,2921,4978,5909,2183,5075,8035,6959
216,3990,156609,143367,64032,813,3017,107997,81784,93443,112818
582,134214,49276,6978,4168,3223,7257,74750,2922,5080,79879
561,4605,6945,73319,32022,3989,171867,50189,8605,78316,8574
