user,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
465,187541,92439,58655,5250,71668,91323,148172,1592,76060,156609
453,1999,7486,49284,3075,3150,4697,8939,73042,145839,2038
98,8848,172591,3142,33564,2654,7216,110771,48326,48744,2674
522,3599,26084,3163,3538,5364,3150,168418,1798,3287,5159
274,5899,161127,78316,3325,6235,5288,73319,828,145839,113378
391,4498,135436,104875,6686,130634,472,102,271,8943,2265
91,50189,2057,160565,86504,103883,108156,145839,549,117851,148172
95,129428,87867,6650,945,950,2977,102378,103543,119155,98279
220,50189,8656,867,1572,7937,94503,7820,26171,7649,6286
167,4605,86504,90647,1419,907,72171,110127,1341,680,104272
