user,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
104,80831,2259,3840,1689,3506,3927,6433,103596,6643,7450
112,110771,4723,182823,4210,5391,75,27834,7748,104339,50189
382,96488,168254,164200,58655,73319,102993,94503,58303,108156,128520
438,1683,3627,2132,25841,7171,6538,60289,6055,78316,159415
174,4389,6869,1018,1755,3908,3436,1621,131714,2771,2807
431,120799,42,4158,67408,62644,61729,879,4056,486,1468
354,167018,6650,1731,73106,132422,472,2102,4268,117109,129428
337,3102,1627,92048,147384,2976,90374,2349,26585,3587,74750
137,129397,32300,54648,2816,3404,4010,44399,8035,1453,182823
195,2630,127096,4372,117466,7762,7700,5460,3415,184791,1936
