user,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
510,3150,84189,867,7649,1972,92509,101577,1626,46337,85885
560,270,46337,6650,60766,58347,100714,73319,1363,3746,117851
298,6183,94833,3746,891,828,83827,94503,60289,25788,27850
82,73042,4178,3093,4241,3283,2624,96281,4792,3467,159415
404,2625,94503,82,7215,33830,64997,130490,1859,5788,167018
234,2511,3963,4037,4697,6978,1684,8128,130490,2546,7026
402,90888,4160,166,71579,6790,161580,95377,1055,5222,4056
288,171867,98083,64993,159441,549,93006,103543,165947,71668,60289
528,2132,101577,3594,92535,4812,240,6341,1627,4634,6308
81,173145,57951,4743,93297,6060,1286,5460,73290,255,108156
