user,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
78,128620,156607,30803,3223,3537,3521,73042,6025,159441,6183
141,101112,57951,174053,93443,49932,103137,4480,4605,128975,91622
228,6636,1329,161922,92439,71579,759,64032,343,330,8869
287,82053,141830,133712,6143,86817,54734,92439,3286,135861,606
422,159415,1105,85885,168254,100714,7069,78316,74154,1046,114762
353,155288,62293,4794,91079,70641,5564,172591,61255,74275,147384
240,94478,187541,79798,3068,4565,1034,62113,26409,95449,6332
135,104875,389,90890,122896,91325,1606,60289,102,6093,129428
580,1066,155288,106438,937,108689,112897,4252,157699,4220,1797
47,51024,48877,250,73290,4546,3342,3225,119655,104129,82378
