user,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
223,1599,1437,2766,2786,1713,2373,7091,2525,3771,2132
33,26409,82053,2977,73290,4334,147374,96488,147376,167036,100714
502,6951,43560,25750,3550,77798,7649,96815,96004,104457,80166
192,2252,3308,78637,4600,71033,54732,3606,6159,49396,2436
585,881,129397,32300,48982,164909,7067,2149,77798,96815,390
1,91079,102,4142,946,100810,191,3743,88746,8869,430
512,51024,94833,61,347,68,274,3401,7810,7649,6566
133,4663,4293,175303,6169,63540,4987,96004,99532,143245,1363
205,3953,5147,4821,804,33145,2007,95449,49220,69306,171
454,4676,176419,3925,3480,8610,461,112897,82202,118700,32387
