user,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
252,48982,82852,7048,92420,5643,2389,136598,73290,93563,6650
213,5570,1447,110127,9010,6217,5131,7810,80241,4178,4802
497,3063,72395,141688,7743,6732,5391,8042,5900,8985,4443
441,461,5460,70994,8501,159415,3453,58347,950,5480,70984
366,4131,1670,86817,343,8035,187541,58303,82041,55094,148172
588,50189,161580,4077,1623,73929,85,670,3325,766,2227
445,160567,141544,112897,274,938,64034,51931,63540,6550,171867
342,34542,1686,115231,3927,1173,2693,125974,130520,3512,72167
198,4160,6946,1363,6650,4663,7649,55553,33669,147378,869
495,2057,901,3538,4605,5472,1006,64,4160,33639,2068
