user,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
43,7044,4159,5665,3915,1797,5099,132,7842,87483,4744
375,4991,879,2239,1465,74154,6143,8574,55250,8199,3048
483,8869,160567,141544,60289,1004,271,74698,3120,867,472
166,759,5387,136016,606,3430,146,166568,74754,4471,5938
211,56715,84189,107702,127136,4663,4546,2204,58303,44204,5637
476,81156,1624,2633,907,7206,1859,2203,118700,33669,3587
312,86781,2068,166291,725,125916,656,54734,8605,2807,61
332,159415,100714,101577,1363,46337,132157,108689,3406,8620,136666
504,45382,6945,32022,3989,2287,105731,2574,5224,32582,1440
325,5159,142222,73319,78637,95449,151455,2514,5942,6093,91323
