user,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
308,171,46337,4386,73290,325,26258,4381,9,6868,7327
212,77364,568,6695,174,34532,1415,3223,4987,147378,127108
600,73106,8951,568,58554,160565,725,103543,141830,1363,8869
181,3031,1034,2290,4126,1176,2693,3068,8044,6093,1442
57,145839,63,141830,32460,88746,132422,891,126548,108156,104218
381,83827,8605,879,46337,182823,1351,6249,3682,117881,1633
42,94015,135436,1797,118888,3855,168254,3538,89761,389,3223
414,73319,117851,104875,60408,6643,149352,85885,60289,109569,73042
387,3287,117851,8869,141830,7720,130520,70521,133712,1004,87234
21,58154,140711,6639,135532,4947,7222,173145,2917,26152,606
