user,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
290,1621,7164,2327,1341,147380,108689,3017,656,179211,990
330,6994,4200,6723,4947,8574,101577,3513,26865,1718,136016
48,63062,2874,117109,128852,67788,132422,66943,83803,270,2693
466,165549,94015,26326,5414,2506,3538,75985,5942,3153,166
204,3855,91325,46337,180095,2350,79242,159858,935,2618,101577
368,85885,634,104218,104339,8869,98203,26409,102,945,82053
260,3830,159415,68073,73344,6794,110501,6055,71732,3760,3145
452,86290,8199,68848,44399,27912,96004,7215,100810,99532,143245
513,4663,6169,6579,3017,3513,6946,5451,881,122898,81417
376,118985,4440,8951,26171,472,7810,2928,1718,93272,87867
