user,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
562,2782,72129,3529,3983,2630,101362,3214,27266,56607,3841
253,118900,37240,91323,2693,7362,158872,4782,2836,4509,6713
555,81819,8848,26409,1004,103543,44613,4160,3150,7169,1859
58,45382,94015,105211,26903,879,1624,3214,67665,75,3015
134,7748,1351,105468,49347,3283,156726,160980,3538,46062,80241
405,73319,867,155288,3011,68,167746,149354,132796,102378,68848
424,7000,65188,6060,4102,140247,102880,108188,110655,144620,6880
67,1279,128520,94985,5450,4285,1718,101076,4424,4544,1931
8,146,162606,1971,5414,99106,1718,6650,85367,123947,33880
65,544,155509,851,3045,3628,104925,3358,138210,4259,2810
