user,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
267,107997,180095,4158,6945,45382,32022,3989,5421,5224,32582
153,662,116,3799,8574,129937,2817,3466,779,3758,95307
229,4676,136666,141004,55250,6885,94015,217,86892,5074,57951
384,8743,4440,80241,2068,2351,102378,103339,4713,98279,1971
355,7381,6794,3031,3538,1082,171867,73929,26152,184791,891
317,136666,141004,45361,6291,90890,130518,79242,3928,1987,7720
372,4676,100714,104218,56715,2789,159441,3325,165947,1329,44225
370,2040,1615,174,57243,2034,72171,3835,2383,5075,1191
109,2654,102,938,180985,650,2429,148172,62376,117109,3539
559,114601,90888,4480,2807,182823,90345,7299,91628,90343,55577
