user,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
508,85131,1468,7107,947,4987,3206,6380,2654,4533,425
254,101577,136598,104339,64032,107997,54,120635,5250,4175,81784
247,8372,50923,58876,49793,5255,1264,140928,88746,141866,212
439,135861,96829,64,1497,1686,6122,152083,2488,2323,85885
519,5479,6193,7104,469,891,3208,4233,78316,175661,6946
90,4141,8491,4850,3706,4794,3325,191,92309,73569,8266
299,135518,4438,52730,3241,139717,103819,27728,7209,73319,4626
100,3497,6213,82,3837,71379,6786,1055,130520,2208,1465
319,4480,91079,2836,6686,4233,37240,3097,63,70641,5564
437,2899,8620,2068,3287,117192,990,7080,45361,117466,58554
