user,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
324,888,109483,118985,85367,110771,1324,86377,3837,6217,5131
54,108156,106438,211,78637,1554,158872,85022,47640,48520,140247
403,26409,270,326,104074,1936,62376,95377,1395,136666,71579
191,191,3538,3287,142997,289,80241,95449,1718,917,102194
531,156609,160954,70641,5564,61255,74275,43904,40581,130490,2511
3,86320,169984,407,30803,3506,71732,31804,6162,25771,71518
209,109483,42718,52730,6852,4077,5682,48879,139717,103819,8044
310,460,4273,92439,61729,129428,93721,3097,6559,173925,1993
442,2103,77866,3690,5497,6367,1415,27834,4723,5312,2381
457,3912,1264,126430,100714,96488,180095,7116,3436,4517,946
