user,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
226,2239,180095,4517,26554,44613,85885,2511,1621,7171,100714
419,2171,108689,3719,2709,240,145839,159415,151455,112911,147378
542,7215,60753,4419,89761,4175,81018,127152,1623,155509,6461
606,130490,58107,73106,103372,113453,7142,1004,26409,8363,64032
607,469,1324,97172,422,2888,2050,102,211,2782,62250
10,1957,130518,3150,4881,5504,54736,179,1515,2413,2204
217,6852,1964,89118,4703,3221,8253,1176,6022,3074,891
121,8254,7261,4914,82,60408,1600,68486,98154,1684,879
409,159858,158813,147372,51024,1353,150596,2477,159441,86548,4957
425,5246,2252,3673,75,166492,111617,4480,2381,2038,130087
