user,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
589,1621,111617,1099,4947,108156,104925,93766,75805,86548,75
161,1457,1684,5316,45732,59037,67267,98203,87483,6265,93766
245,40339,2806,5080,7573,160565,3672,2084,93723,7209,93563
61,4381,101577,117851,26492,6946,3938,62439,1286,7078,6994
456,304,95088,7982,1983,3223,2131,3732,6549,4109,2500
576,2184,6650,2488,85,3563,2816,3287,1399,1502,62511
25,118997,86320,6332,6306,4021,156726,7107,6946,947,94833
154,4304,4211,59014,2266,81784,5497,110127,2034,140928,88672
574,3843,26258,1324,5279,5527,6880,175303,158872,101112,135436
258,6338,90249,100163,1107,136449,34336,33085,93006,59014,3097
