user,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
423,57951,2522,91094,119655,104129,79428,3830,135456,155509,27478
507,62293,146656,165549,5879,99149,156609,27912,1126,4248,103339
406,4141,1542,891,53123,4215,91653,39400,2936,2430,5803
206,136666,141004,5048,4063,2170,3286,2166,98154,26865,108156
360,3502,87430,2432,3201,833,4488,8967,2506,2586,4381
278,114060,34332,343,240,47404,91976,6170,2429,105197,122898
565,167018,4518,26865,85397,2184,67408,6265,80241,1859,3401
399,127096,4738,7027,867,175303,2315,27822,42015,4168,8695
250,2491,122896,74510,2014,89305,3283,98585,78467,3655,2363
30,7080,2669,176419,92309,73569,5136,26612,26510,53022,2586
