user,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
558,58655,4622,87234,73023,2574,132157,164200,4634,60979,71
53,1,2,3,4,5,6,7,8,9,10
487,1454,3513,73106,697,48593,6790,270,5246,5788,73319
165,8620,74750,4053,2674,5205,86290,127098,42,48342,64993
265,3241,6025,4697,2676,98083,5646,111921,946,127052,110771
283,8677,6334,2971,2310,77800,1611,3771,917,4146,70641
503,3719,146,8620,87234,66665,108689,95449,1797,8939,62293
218,168418,80693,3163,76060,6643,93721,56805,147378,167018,74508
16,61248,1334,50794,92309,2504,73569,2252,5136,26612,26510
323,155288,70641,5564,61255,26810,74275,6235,75805,1979,171011
