user,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
350,81158,90888,2349,334,718,3214,4464,2181,55577,7015
433,3786,166492,1018,6337,142222,27838,160271,5292,80166,73042
443,2351,2149,1392,2363,2696,2382,3746,3521,26865,3031
557,62344,74510,4419,5882,187031,2907,3262,2524,88812,112818
175,6996,5049,5796,3177,4794,8035,73854,8387,7319,7091
87,1996,102378,102,98279,132422,8827,66943,86298,2574,3130
374,6616,64497,1083,7386,42730,1581,2331,103372,5282,3557
569,574,1126,3766,50802,135567,2342,3113,7084,37857,91323
407,1128,2333,6744,3197,160565,2902,58376,4821,4102,2264
566,85022,171867,3529,2203,1626,2877,86892,7026,119655,104129
