user,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
463,26409,4471,2429,4893,6060,4663,917,180297,3325,650
570,155509,4697,71205,73929,7171,5454,3677,1329,130518,58554
322,7080,1798,66665,2303,100507,3879,3017,4673,1785,31804
56,58655,4117,8973,56176,8620,1993,5646,4426,3696,881
549,7376,4920,1111,144,5611,4686,27722,90717,548,4035
492,2202,3053,56012,4544,7169,77455,74795,118702,5267,1126
472,1051,27912,1542,8967,58972,6436,96432,52952,2613,893
96,8574,95377,85397,179211,4268,4697,4663,136666,116,141004
491,26133,108156,174053,6367,580,2807,1241,5803,7263,8614
39,4845,917,4056,50189,182823,87483,112370,1624,27563,5364
