user,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
159,140928,96655,840,5048,118900,42009,1184,166,58315,3048
448,946,60289,73881,2239,779,6650,171867,7067,74698,3097
280,107069,619,8605,6320,67695,240,2534,171495,2696,6946
516,3771,168492,89190,5147,1176,3445,74452,7762,80693,1948
184,7834,162600,54648,3109,6265,2206,95449,2333,53127,2267
242,148172,990,104218,68,70641,5564,136598,4789,61255,6566
182,8869,74530,6946,159441,26409,145839,147372,165947,113378,8363
318,1798,1996,187031,3341,127096,4160,160565,3287,2534,67295
563,3587,44759,86377,6375,8266,4037,66371,57243,6301,8270
380,7067,60289,74698,58554,110127,25788,27850,58303,164200,4278
