user,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
171,2103,6005,1797,7810,1621,795,5804,4951,128968,58347
321,4857,1992,550,74452,112911,159441,3446,2888,5556,165947
160,40851,63,304,117192,155288,619,58554,74508,116,127052
371,70293,7366,112818,110669,81537,103984,2315,25771,6466,486
124,66665,40851,5288,62439,117192,26409,1626,155509,4480,130490
392,7222,1354,135532,27912,155288,6306,4703,135436,4688,7743
52,8968,165549,90888,95449,58554,3426,1279,8035,7067,5246
534,1948,4195,6975,68,7316,5570,6055,31433,901,49284
190,2282,87192,6702,3223,4956,3693,2252,7842,3799,106873
377,1497,7001,2943,60289,105468,1545,1972,1596,6945,2807
