user,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
340,135436,168492,74228,86293,60128,3521,3766,6035,113453,4392
207,26765,99813,91660,33880,343,4676,26810,2491,140711,2102
261,4175,145839,8869,73290,69849,127096,113378,2828,55094,388
77,27822,5298,8581,5932,86347,6645,63436,103688,4259,2977
388,26865,8796,53123,5690,6025,354,27865,240,117881,512
451,32298,2879,6249,217,109483,97172,49132,5421,74750,117851
37,1051,4794,1016,170875,46974,40581,3011,7320,45732,6978
598,829,42191,2004,122890,2227,70183,934,3538,108729,100163
295,7017,935,950,73319,5409,3214,4160,8782,58303,472
180,711,126548,881,1051,71579,4265,2057,173145,1816,88746
