user,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
556,5665,26865,1594,4480,4126,59037,6885,6868,117192,4450
114,3436,3221,53468,173145,617,88746,56788,98203,99813,5106
595,65126,31225,2204,74545,6265,938,132046,4373,1951,393
276,945,3771,2534,6410,2782,795,3470,5421,5609,1594
363,4697,365,92008,685,116,5434,61160,74868,5094,6035
208,95654,91323,58303,126,86320,94018,3090,8718,91842,94953
170,142448,1888,2303,98083,6783,3837,7834,6349,151739,102033
327,332,6932,53974,1999,5477,4821,4141,8948,4991,1401
389,1238,6852,99106,2752,2928,73319,160565,453,123947,3682
106,3799,6579,456,6724,62511,76060,8959,92535,1797,73106
