user,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
23,92439,56563,5932,2563,68073,67695,107997,60514,650,4721
356,3719,512,107702,240,73042,127136,2068,891,1176,40339
51,3453,334,63,64032,69524,127096,1981,73290,50189,2789
514,8973,1419,3306,946,3626,3925,31184,134214,60289,7209
15,55814,107997,73929,145839,104074,26171,47404,30803,114060,4794
239,110669,167018,183897,74754,173145,98203,68959,54,25886,78316
477,828,8869,73319,54,136016,3223,159441,74530,165947,31433
266,72294,7810,86548,7171,685,94503,1361,104218,80860,46337
608,92439,73290,5919,126548,155509,8035,113378,50189,46337,83827
573,3283,2582,171,167036,80139,2829,82378,5341,3217,42
