user,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
123,2036,140247,80586,7072,34334,1406,3093,56715,3746,2927
533,6461,82,5485,103984,1390,3153,49824,96488,1707,6148
364,3577,158872,1192,2380,8814,94833,7450,7845,33145,6790
60,104272,2178,90888,8044,3401,1582,3241,96606,6577,27912
79,6334,2310,4265,120635,6591,38304,334,505,40414,4256
236,85736,86504,2563,4857,3011,6946,4703,7376,4146,73015
369,7121,8951,275,73042,1888,2350,26631,656,8372,43917
505,6658,90890,487,6433,82167,95377,2674,100507,44004,123
128,116,5414,101765,71379,93443,59103,8614,80860,27846,2239
116,46337,2210,1167,2782,2843,179401,5522,1606,7834,94780
