user,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
302,166461,191,151455,73290,92439,8796,147378,711,6643,7084
76,99917,77798,96815,104457,67408,3048,52950,27584,107997,40723
188,68659,3042,2546,86347,217,2880,168254,170875,1888,2169
597,60289,132422,104218,66943,725,2807,74698,62293,990,118700
6,2488,2531,5113,1875,1999,60760,96606,80590,67997,93831
241,1904,3423,95720,4721,795,103075,66371,2840,1649,3873
233,44225,55245,4268,159858,102,3406,109578,156609,759,53140
4,8782,833,135137,6290,4976,881,58162,63479,93563,96448
22,6370,168418,1453,27865,901,4339,2350,162600,65188,4102
393,152083,6375,118985,2227,2879,5347,1599,8948,5080,6249
