user,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
71,4221,4565,2149,906,4207,49132,2068,8604,1914,140928
518,136666,141004,60293,691,881,99813,96861,5159,2377,90890
138,6811,881,2625,259,2458,102378,2227,98279,152091,2522
35,2252,2977,58655,2639,62344,34153,55253,82378,6315,8268
550,2874,102194,46062,7215,101525,59014,27618,127096,178061,3506
546,117466,130518,5480,487,5609,104272,147384,6002,1804,4723
470,27882,3912,3550,4862,61236,1733,7078,67295,3064,2670
269,69849,6568,5415,27912,140928,85131,61236,108156,71379,5942
162,3771,43917,4748,27721,1713,3584,5548,8870,85367,3843
38,2430,1437,606,88746,486,8943,91488,1981,634,3746
