user,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
397,60766,170875,85,37739,48326,139642,1999,34332,55241,56801
449,51024,6263,58303,64993,3732,58655,160565,5485,8782,3042
127,2586,3571,1752,4929,7354,3786,8491,5428,89759,26504
398,103339,64,90888,71579,3990,7209,3957,90374,156726,505
303,52730,4676,139717,103819,7235,4845,109864,85,2807,2241
461,6238,1502,8781,78637,68793,1432,3957,28,839,74532
248,161634,143859,94015,4285,4978,2263,104074,3150,1593,40581
194,4021,2563,179211,131826,58839,1306,617,4794,3553,6549
602,101577,168418,54,5460,4912,55553,7810,82499,58303,167746
427,180985,943,167036,1468,1731,5312,3538,3719,102,8604
