user,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
186,1571,8604,3302,891,2068,1192,127096,47423,136666,141004
297,151455,44004,58554,75805,74530,6093,2789,142422,26409,867
63,6549,187541,4792,5034,91079,990,1718,3097,469,5391
45,27397,78316,73881,1626,80862,148424,3879,2633,187,2364
484,106873,685,2555,33669,147380,140359,4591,3799,3627,2255
17,128520,4273,1341,5460,3855,8620,95449,2239,2546,8605
31,85022,2263,2256,48744,3430,7720,152091,52241,3142,6319
361,75395,8366,127096,1755,136016,56788,3912,4874,6857,58303
273,6290,125974,4373,8869,2899,2488,117192,45382,79798,74750
417,79242,2166,74450,44225,81784,879,92938,6093,120635,130490
