user,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
237,4304,85022,833,1202,168418,650,71668,131714,109578,2534
347,2042,136666,141004,3040,69524,166,5048,74750,134170,2815
189,4900,1126,48982,2351,100714,55241,6568,94833,46974,3830
523,58315,7810,42,26258,5048,1730,26865,2888,77798,96815
473,4273,1987,3746,118700,8008,7650,67295,759,6566,3628
14,453,1363,1415,1306,54785,6872,47382,1904,102033,42191
592,70641,5564,73854,61255,74275,60293,64993,4160,3729,27912
193,4256,90439,2327,108689,1762,7161,44828,62250,4845,3066
107,61729,5788,2807,75,8044,456,69453,2148,7171,26965
467,3341,2523,2521,1904,3422,217,5843,5788,132157,53435
