user,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
88,73319,7743,1684,2903,2068,52730,4082,139717,126,888
172,26171,1643,3142,1107,108689,161634,3837,4056,5316,64993
306,6791,93272,90888,4483,26700,3764,436,85131,120466,54771
27,4480,4987,2730,6629,90717,140928,5106,70641,5564,4749
197,111921,6568,48322,82499,86345,7209,1979,2024,55261,1446
529,4703,2492,38304,4334,3843,2625,43921,99145,6143,103075
429,59037,117851,1004,2630,6763,5501,3425,6566,3993,1992
577,117192,72129,5106,3401,27912,99106,33903,6093,104875,4278
447,1858,2344,2439,766,2816,6658,26810,501,888,393
358,8620,2418,32387,6975,44225,142420,155064,3494,523,167036
