user,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
119,334,116799,82667,56921,99149,1703,73319,1279,81158,8142
122,3097,31433,132157,33669,102,240,85885,1006,7720,270
343,66371,2282,2381,1353,938,130490,85367,3214,4241,39435
554,7982,2534,127108,6658,53956,5417,3682,33880,98203,103596
336,85367,3529,63479,3506,61236,347,4803,69436,212,3538
70,2151,3953,2766,83803,4275,680,27822,6946,5080,54732
469,8869,187031,8008,304,1363,159441,7017,6566,165947,162600
256,62376,3074,142448,1176,6625,2976,63808,8620,3788,67295
418,31433,3738,113378,27728,1502,102,159858,60293,104218,1341
29,26409,110127,6122,2323,2342,2212,4529,3837,127108,8677
