user,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
471,2836,48326,3029,6946,71282,4697,3115,67408,8916,3150
352,388,168418,8620,130087,159858,117851,112897,127152,86548,113453
41,113378,39400,2456,4535,7015,122898,3422,55253,129354,26409
284,305,94833,110771,160271,112497,92264,79242,141688,116977,3538
235,3529,85367,72129,55245,130490,547,54648,2586,1192,759
553,1999,4433,3469,79185,3475,4024,79242,886,93272,8943
329,4105,2867,2287,2275,184791,6591,2672,167746,936,4826
238,156609,34528,271,2169,2036,140711,6811,47044,76175,4146
146,128968,5710,49013,114601,118997,4845,91628,90343,259,66
551,8869,98203,69436,612,58972,7161,91323,6721,59037,96861
