user,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
359,165969,105250,92475,50851,160565,165639,66371,1621,3225,27822
412,8808,2347,58303,7834,2429,564,66371,3325,60128,1487
326,2807,103655,6568,3957,80831,77191,71211,127204,58332,2303
102,5205,6643,365,4640,2390,2563,64997,6785,101577,1798
142,2265,38,1648,2475,7079,103810,136598,58303,74450,86504
400,180985,173145,59014,58554,92439,147374,5279,109483,160271,112497
200,1684,141830,7327,133712,7067,4294,87234,299,3158,46337
163,167746,692,53127,2497,46974,4920,7376,6639,59727,5909
395,4225,1170,7646,102481,6035,4392,2074,120799,41617,2071
410,101577,73042,697,91323,56941,8743,522,569,36537,2613
