user,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
221,166492,340,2816,2748,1460,4516,4440,42732,126,881
125,83803,85367,108156,2068,87867,94833,8199,4021,4900,86290
19,7209,132422,66943,160565,1105,88746,168254,8008,3453,149352
227,40946,7000,8530,5434,1837,93443,190,75805,136598,2373
113,2786,159441,2239,165947,270,132422,72129,3773,86504,86892
84,95377,104875,117851,1004,104218,2585,58303,2625,7017,8869
432,1863,512,72395,326,869,2350,2264,56012,3715,2178
244,2068,7142,73042,4471,330,55245,886,879,58554,73290
386,1733,453,4480,85885,6566,4663,759,688,114601,6624
292,5949,142448,9010,430,165549,2034,158783,125916,161922,53127
