user,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
564,1713,67534,55116,3836,71135,4608,2443,3706,346,62250
257,60037,299,95307,82378,40946,7649,1889,8491,50601,4703
251,80166,86142,4697,2586,3571,130087,107565,48342,4356,3973
605,6035,4392,2074,3760,41617,2071,2899,2548,8604,4210
541,4275,5980,103543,3912,26084,86504,4437,78349,109483,91622
7,71668,505,472,166492,87234,40581,8605,70641,5564,2874
440,3738,6338,109569,459,2554,5485,2523,2521,58299,7982
158,3946,120478,73042,3539,3051,1051,4345,7570,2575,73106
436,2068,155288,166492,2102,3446,118997,118700,5919,907,7009
69,160271,112497,92264,116977,129737,45382,107702,113453,127136,101577
