user,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
286,8574,168254,6060,7010,550,147374,110127,160565,113378,180985
543,94070,27618,2633,108689,4893,3676,3031,2978,45175,3506
383,7376,7259,5222,7026,2907,79357,7700,54256,84601,893
313,119655,104129,4947,1329,2265,4703,46337,147380,98203,270
609,611,6122,2323,155509,461,92309,73569,2244,118,2044
458,3111,3898,5324,5880,6280,7175,175303,99910,1972,3557
571,1942,5214,37739,82041,781,73106,93006,946,3929,33725
530,619,71205,26870,26765,95654,91660,8044,101112,47404,94833
73,2668,45382,2935,1415,89759,6170,165101,130634,8743,77866
115,142420,155064,177615,3598,75,25788,27850,848,5205,1733
