user,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
579,58303,6062,2331,2630,7215,81156,64993,1176,118900,62293
481,53435,2807,8908,57536,2249,879,55245,943,4356,78105
92,73323,121231,92391,122884,5735,55241,1107,6975,104906,48518
36,2977,70641,5564,61255,74275,6650,102,7649,1798,167746
11,27865,3729,3158,165101,182823,83177,155509,8044,27912,1624
9,91325,2102,6643,58376,1999,5092,87867,8796,1606,7067
83,81132,151739,2575,473,82,6713,2327,2382,155509,8501
201,6461,110771,3677,4845,141830,7015,8848,95377,69849,52579
521,1727,4587,1713,4130,6461,55241,117466,90374,7013,47261
338,6387,4912,1972,55553,51834,4789,130576,102880,52730,108188
