user,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
527,56339,56607,8620,57243,2073,1107,79251,4794,795,1999
479,4628,63,6686,8372,1582,160565,103810,73319,162478,103543
28,102880,108188,110655,144620,42734,106873,155288,1328,1551,3529
525,2977,158813,2314,5288,828,159858,4626,73319,6616,60289
32,62293,1999,4210,64,881,54,108689,1340,7649,2534
249,159858,3719,102,58303,634,94833,58554,4663,61729,73319
177,7649,92694,31184,2195,58655,81158,135436,4957,63,82378
486,27193,8928,34153,2500,4442,94015,8959,1107,4259,6433
357,135436,1979,82053,48342,159415,171867,6235,127096,5250,1341
20,950,69069,8610,3771,67665,3286,6985,7208,8199,3587
