user,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
243,169984,2568,42725,2269,6538,7834,129397,32300,54648,7624
176,1904,278,270,68848,390,2342,102,26258,5477,8838
367,3306,3283,39427,74750,2068,64,5127,5319,159858,101577
460,1649,1034,175485,54,102993,8951,3682,187031,3627,4826
539,1904,26729,5899,117109,869,128852,2418,27408,3957,3766
314,6348,2574,116799,3673,93563,3837,4699,4426,4316,3513
365,4359,747,71033,94015,82202,1844,7215,5451,3426,6890
435,2091,8574,1497,46572,2377,73106,69524,547,4789,74530
155,4857,3873,138210,209,3185,73266,4920,3912,71248,74450
390,869,132046,2171,54648,8870,2522,82053,109576,2418,1973
