user,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
117,617,96488,4663,26409,111617,99145,1999,2327,33779,6169
232,102,103372,1648,7169,3719,5205,6538,3325,3529,4211
489,68269,115877,4160,2882,86504,58376,151455,82378,26409,73319
66,51024,3719,101088,3557,104069,101577,58554,57951,2331,472
474,171867,42191,88746,103543,634,127052,102378,128968,149352,49013
132,656,91325,828,128968,102378,155509,49013,184791,98279,62293
105,145839,5682,48879,87430,469,1453,126,6410,27873,54
309,1572,7937,7820,93980,4846,1126,7001,3041,187595,2902
307,141830,60289,6235,83827,133712,160567,4294,141544,118700,935
18,171867,7169,102,1363,122896,166492,135436,70641,5564,74275
