user,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
379,26052,27193,56801,3093,487,5146,3306,79553,2102,95182
34,165549,2488,2815,3599,2347,61350,2961,6006,27722,438
305,8268,950,31184,4518,171867,104875,117109,3042,88746,3884
103,2068,6650,1703,3061,50189,270,950,74530,113378,104875
231,6345,70159,141830,133712,74754,130518,90890,6643,33164,3134
517,1596,107565,3837,26810,49132,4845,4956,33830,5450,103984
264,27722,61,54,3384,209,2038,5205,56715,3955,2693
110,95449,6686,5048,88746,1592,64997,78893,182823,69436,135436
490,91325,6566,94015,51024,161580,2068,73290,1453,167018,7169
268,6686,6006,2151,2807,100507,212,3401,2816,155288,6055
