user,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
511,173145,82499,26409,95377,27912,167036,104218,98203,73319,59333
144,7450,6566,8959,136562,1718,86,85,7017,3036,813
187,3873,2255,82053,2789,64622,4628,152091,3401,697,102
603,4142,335,109576,304,59429,48342,4947,139915,103543,105954
596,73319,159858,4337,78316,103543,58972,6055,4211,3719,33564
590,159415,26409,85885,149352,32892,33171,1325,67799,134528,167296
540,1572,7937,7820,3521,127052,1279,2165,89759,8928,3835
89,4289,3316,159415,4231,103984,3134,4146,125,848,4211
532,187595,3672,1392,102378,120635,879,98279,4160,33830,107997
462,2857,109848,1431,6686,4056,6850,6093,74452,3865,6027
