user,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
230,62113,55167,3079,2266,26171,3912,27721,3308,4333,49276
446,57951,2971,3673,6566,147380,45361,6732,140359,2057,65188
168,6946,6433,100714,64034,98203,938,891,3163,84189,74508
178,101765,159441,8808,64,6624,165947,2068,2566,78316,57951
378,2383,72171,52241,3484,79357,81018,64030,6619,111617,182823
169,2255,130087,147374,147382,7834,3835,155,104218,127098,82499
591,6713,160271,112497,92264,115877,2469,116977,4042,70641,5564
150,74508,6811,5527,7650,1009,217,1286,1050,4241,160565
584,156,1564,6794,101088,3223,39449,550,2333,32298,4130
572,173145,33669,40851,5471,120635,87876,69278,4526,1621,130634
