user,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
219,38304,103543,101577,879,171867,44225,73319,149352,32892,33171
488,72171,3102,2068,1107,4845,7236,109569,5882,101577,3029
500,108689,6060,1572,7937,42730,110669,5282,7820,8928,6994
464,5919,4160,122896,95377,71668,1797,6060,26810,64032,4663
97,94833,4440,7209,4850,6666,70641,5564,78316,100714,61255
149,100507,5480,4957,71379,179211,40581,8695,5387,25856,6412
506,91094,3990,6568,2188,77866,2500,5415,53550,78,94985
362,113453,103543,72167,110669,142422,4957,160271,57951,8574,96004
499,945,938,31694,3387,1837,512,1454,51939,255,1975
179,104218,45382,113378,487,74154,64032,938,66371,134214,128975
