user,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
335,6538,937,8919,4252,81784,173145,114060,6055,2239,2265
255,6669,1971,511,237,45221,26614,535,147374,49824,6658
80,4082,130518,89190,83827,80241,86817,45440,68848,3404,151455
148,4826,5152,85510,5803,5450,1649,3040,2919,3955,4349
157,73344,4211,100714,46572,162350,104925,4419,4433,65682,161580
524,125974,80862,8035,2351,6060,76293,4480,1051,58554,4845
346,4947,2121,2255,74452,3766,2188,43836,37720,160565,102880
279,58303,92509,3513,1082,45361,4703,1341,145839,7208,52730
581,2383,42418,67695,764,7991,6880,2007,569,1785,127098
72,685,160271,98203,112497,92264,116977,61,129737,108156,109569
