user,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10
482,37240,92694,4312,140247,79553,72171,27721,4205,57951,90717
44,5466,456,718,4725,384,522,7013,4605,80590,3513
455,6663,170813,2585,692,3158,107069,7834,3822,101112,8364
151,62344,1713,3999,3973,44399,3786,79185,3928,4794,3946
545,162350,42730,27882,5282,2347,70641,5564,61255,74275,93563
259,5423,6664,3310,67695,4474,5450,4275,55250,7327,259
40,2492,2068,58303,4476,57951,334,60289,3928,2899,2383
143,4936,72605,4437,4373,935,2880,91323,5504,45730,1295
334,107702,25771,127136,3912,135567,8869,160563,93443,117192,114713
385,5643,617,984,891,1621,62293,126548,26409,33669,85885
