userId,movieId,rating,timestamp
359,587,4.0,1198112169
483,1175,4.0,1185098232
580,8376,1.0,1167790071
603,28,5.0,953925191
606,1857,3.5,1171842826
330,25,4.5,1285905238
307,3160,3.5,1194912445
592,587,4.0,837350221
274,27801,4.0,1249327842
448,5752,3.0,1074715109
448,104076,1.5,1402162552
86,3578,4.0,1344082855
432,628,4.0,1335139149
438,832,4.0,1105649540
249,52722,3.5,1350831603
274,7360,4.0,1171758864
610,5049,4.5,1493850286
414,2318,4.0,1100800216
365,60756,3.5,1488333218
246,49932,4.5,1354124937
91,1206,5.0,1112713440
156,593,4.0,1106854598
428,2004,2.0,1111525409
177,2080,4.0,1435534751
64,45447,2.5,1161521530
506,56949,3.0,1424487005
198,3436,5.0,1034138862
469,1037,1.0,965334866
62,6058,3.5,1525555043
330,3578,4.0,1285905144
240,185,4.0,849122194
495,2410,4.0,1458636441
249,68237,4.0,1442154017
195,4019,4.0,978994367
260,50,5.0,1109410623
220,954,4.5,1230054684
239,6,5.0,1221158564
425,45186,3.0,1163186225
425,4886,4.0,1085492374
18,80489,4.0,1463686312
226,3408,3.5,1095662987
290,34,4.0,974942304
380,466,4.0,1494803594
249,2628,3.5,1347318740
98,56801,4.0,1532457659
402,145,3.0,849654373
169,7045,3.5,1073179888
597,1953,3.0,940421094
414,805,2.0,961518394
551,6378,4.0,1504926013
66,3740,4.0,1113190600
443,7361,4.0,1420236667
217,1275,2.0,955942145
103,4886,3.5,1431957215
460,3483,3.5,1359177345
555,3741,3.0,978749025
274,428,4.0,1197015496
356,7143,3.5,1229143596
610,85788,3.5,1493849748
275,1252,5.0,1049078001
551,49272,4.5,1504925922
332,1089,4.0,1352672930
240,16,3.0,849122640
428,551,4.0,1111524154
63,7153,4.0,1443199780
50,128620,3.5,1518168132
318,2018,4.0,1346840927
448,5673,1.5,1123436800
448,52975,3.5,1183072734
190,8950,4.0,1504310388
527,1028,3.0,1033173861
306,134368,5.0,1518380228
606,4794,3.5,1171500721
304,314,4.0,882785680
599,3243,1.5,1519179019
466,45722,4.5,1439915362
305,101362,3.0,1460366113
307,51540,3.0,1186257550
167,356,3.0,1154721979
186,3471,4.0,1031079382
560,6873,4.0,1469651030
143,3793,4.5,1444769160
45,2700,5.0,1007995150
68,3553,2.0,1275958275
325,3544,3.0,1039395636
387,2799,1.0,1094940411
68,832,3.5,1158533778
282,2788,4.5,1378491768
119,2701,3.0,1435944456
260,6620,4.5,1109410576
183,2058,4.0,992331702
298,134808,2.0,1479057258
361,1035,2.0,1204045936
280,4447,3.5,1347605351
122,555,4.5,1461562546
64,2746,4.0,1161565655
448,144262,2.0,1491595292
391,4886,3.0,1032388454
42,3176,4.0,996220196
405,37731,4.0,1295936828
610,3897,5.0,1493844879
600,8636,3.0,1237859410
52,50794,4.5,1468052163
414,517,2.0,961516154
328,99114,3.0,1494211411
58,161,4.0,847718580
103,1702,3.5,1431969755
91,2947,4.5,1112713096
249,4084,3.5,1354225702
68,158,3.0,1158533897
590,30793,3.0,1258427035
411,62,5.0,835532559
177,1431,2.0,1435536428
152,64620,4.0,1450867893
218,2657,3.5,1111624883
474,8865,3.5,1108389744
274,48394,3.5,1173639434
474,3104,2.5,1092661174
71,1544,3.0,864738453
140,4220,3.0,1012506552
249,8947,2.5,1415415676
89,5299,2.0,1520408495
387,367,3.0,1094938421
474,39381,3.0,1165539876
339,156783,2.5,1494291850
525,159817,4.5,1476477259
345,898,4.0,1342826827
603,1457,3.0,963178849
505,71535,4.0,1298780088
161,1148,5.0,1186073273
274,673,3.5,1171759781
111,4865,3.0,1516141201
63,1234,2.5,1443199800
275,4809,5.0,1049079408
91,8368,4.5,1112711255
600,6242,3.5,1237762026
475,2115,5.0,1498031761
594,2628,4.0,1109036951
474,922,4.0,1055439689
586,100611,3.5,1529901471
517,63113,0.5,1487958197
88,1994,3.5,1331420196
274,6686,1.0,1172031224
453,2278,4.0,972621826
318,1845,4.5,1445630849
80,4848,4.0,1377308642
448,48516,4.0,1192374218
243,356,4.0,837155178
380,3033,5.0,1494803646
527,2429,4.0,1033175938
326,67255,5.0,1436898530
187,4993,4.5,1161849940
599,139644,3.0,1498778240
213,58103,3.5,1316196741
357,6993,1.5,1348627713
295,1089,5.0,1320064919
177,53464,3.0,1435525477
480,153,1.0,1179177736
383,2324,5.0,943569630
28,6807,2.5,1243837639
448,151501,1.5,1489778733
318,165969,4.5,1481320859
223,4973,5.0,1226210055
414,3794,3.0,1053552124
217,1080,2.0,955943432
597,471,2.0,941558175
317,121253,3.0,1430365237
387,44,1.0,1182720368
339,47,4.5,1460186377
122,6502,5.0,1461561646
462,162414,5.0,1478489531
19,1648,2.0,965706163
116,2797,3.0,1337200152
474,1363,2.5,1060106011
599,55267,2.5,1498514327
414,3258,2.0,961438887
497,2,2.5,1429127190
414,88129,5.0,1324237914
540,2107,3.5,1179108223
321,186,4.0,843212681
500,436,3.0,1005527406
387,53322,3.5,1185602625
339,103253,3.5,1460182188
587,500,5.0,953139233
610,50794,3.0,1493847598
600,2125,3.0,1237762805
489,5791,3.0,1333234145
419,34048,3.5,1322305407
474,1030,2.0,1046886529
305,60037,3.5,1460136949
414,292,3.0,961516047
275,5650,3.0,1049079449
599,5319,2.5,1498517539
288,1101,3.0,976138347
397,2371,2.5,1181966588
469,1201,5.0,965333710
414,37853,2.0,1216149868
62,4878,4.0,1521488880
339,112556,3.5,1460518596
232,59315,4.5,1210210326
610,110501,5.0,1479542522
440,541,5.0,1237569095
160,1208,5.0,991075729
606,1089,5.0,1171327143
381,19,2.5,1165975855
414,2114,5.0,961518026
298,8641,4.0,1447584592
596,181719,3.5,1535832847
222,70565,4.5,1391352889
391,4978,4.0,1030943882
84,446,5.0,857653728
417,6016,5.0,1529284353
517,3606,3.0,1487957567
332,2905,4.5,1352674277
535,2539,3.0,939029647
308,410,4.0,1421374432
344,4011,4.0,1420497222
251,159817,5.0,1470677300
586,1200,5.0,1529903306
572,2724,4.0,979923960
62,3949,4.5,1521488888
382,135532,3.5,1515248824
82,1214,3.5,1084467898
4,3591,1.0,986935199
600,377,2.0,1237714778
474,1068,3.5,1106231071
140,3257,3.0,967049135
606,2551,4.0,1171737479
111,8531,3.5,1516151474
426,339,5.0,1451081021
314,673,3.0,848675249
197,541,5.0,947461866
222,778,3.5,1391350346
44,648,3.0,869251861
19,1391,3.0,965703997
603,3079,2.0,963176221
597,1610,5.0,940420917
356,3363,4.5,1228072634
140,2000,4.0,1055092965
448,60161,3.0,1262543188
9,3735,3.0,1044657051
179,161,5.0,840907462
343,2329,4.0,1202061289
216,3977,4.0,974733513
307,1263,4.0,1186162229
112,1,3.0,1442535639
199,2890,4.0,941583590
274,3386,3.0,1171492209
182,1769,3.5,1055153455
437,493,4.0,859721693
122,46530,4.0,1461562439
608,1274,4.0,1189471203
377,7304,4.0,1340343594
1,2700,5.0,964980985
190,5956,3.0,1504310277
359,4995,5.0,1198113093
352,1717,3.0,1493673806
604,592,4.0,832080778
274,3676,4.0,1217201110
474,337,4.0,979180118
105,57504,4.5,1446572284
177,7438,3.0,1435523590
567,114396,1.5,1525288715
559,342,3.0,845476247
16,1201,3.0,1377477410
328,3421,1.0,1494211272
19,3591,2.0,965706415
338,6874,4.5,1530148453
249,5784,2.5,1415415799
600,616,4.0,1237710543
280,3253,2.5,1348532687
610,519,2.0,1479545235
537,103341,0.5,1424317219
217,2080,3.0,955942646
119,5989,4.5,1437850946
448,2001,3.5,1164622247
448,8983,4.0,1145042155
411,592,3.0,835531951
226,2003,3.5,1095663207
600,4409,3.0,1237764033
555,1405,3.0,978747341
606,5218,4.5,1259446272
472,3100,4.5,1345842918
66,3037,5.0,1104645039
590,3504,4.0,1258417154
387,4993,3.0,1117355720
318,823,3.5,1446152685
219,19,2.5,1194932235
304,780,4.0,881428195
425,2657,3.0,1085490662
599,1249,4.5,1498762553
141,55820,3.5,1513130440
217,830,3.0,955944895
288,2759,3.5,1054569580
274,55290,3.5,1223524660
484,318,5.0,1342982742
172,527,4.5,1291065634
409,3219,3.0,968978362
64,2599,3.5,1161521041
357,11,3.5,1348612270
534,1291,4.5,1459787998
298,58156,1.5,1447517499
28,3107,2.0,1242290922
