userId,movieId,rating,timestamp
560,90531,4.0,1469653896
220,588,5.0,1230055690
28,147,2.5,1242289858
160,3067,1.0,971113866
260,30810,3.0,1109410275
68,31878,2.5,1158534451
308,858,1.5,1421373875
573,60072,4.5,1248843015
448,6814,3.0,1066069812
395,48,2.0,841504003
109,437,2.0,841141958
32,153,3.0,856737123
45,1407,4.5,1121724749
599,6615,2.5,1498515809
93,362,4.0,942946445
66,2966,4.0,1099188014
91,1385,4.0,1112716833
314,141,3.0,834398472
475,589,5.0,1498031516
290,3011,4.0,974938303
298,110102,3.0,1447584751
512,110,5.0,841449335
286,2490,4.0,1119561633
387,6874,4.0,1123313520
474,7051,3.0,1070286737
275,5723,5.0,1049077127
217,485,3.0,955941344
580,2827,3.5,1167792802
434,733,3.0,1270604818
352,53953,4.0,1493674660
21,69644,4.0,1419025406
387,6993,3.5,1094875833
6,852,4.0,845555694
387,49932,3.5,1207377125
582,5618,3.5,1446794188
484,2018,4.5,1342297927
410,3504,5.0,990909576
448,96737,2.0,1382793786
474,2491,2.0,1046887780
222,4022,2.5,1391375639
29,5464,4.5,1405816207
308,356,2.5,1421373783
560,6365,3.5,1469650024
596,2167,3.5,1535712287
448,83613,1.5,1348347405
534,8917,4.0,1459792429
382,8968,3.5,1515172547
480,1061,3.5,1179179392
308,39,3.0,1421374380
387,6270,3.5,1094876026
495,115149,4.5,1458636615
131,50,4.0,1349840171
484,160,4.5,1342296643
286,1183,3.0,1119563360
108,480,4.0,1042838912
318,1270,2.5,1270752519
182,1377,4.0,1055151038
249,2539,3.5,1354227279
607,949,4.0,964744033
91,1094,3.0,1112713651
448,69122,3.0,1285449098
493,260,5.0,1001562629
448,2153,1.0,1019125065
377,3363,5.0,1340343921
474,8461,3.5,1086098718
380,101739,3.0,1494709150
522,26614,4.0,1301727782
89,151739,2.0,1520408825
418,140174,4.5,1461865604
249,73017,4.5,1346847790
39,596,3.0,974788629
570,587,3.5,1181477306
480,7161,0.5,1179165879
599,5146,1.5,1519233290
153,4973,5.0,1525548444
127,1276,4.0,1263527076
432,4976,3.5,1335141357
435,858,5.0,1366676018
263,3911,3.5,1090948229
477,56251,4.5,1216608896
125,149144,4.0,1475264557
66,1378,4.0,1113190101
477,4638,3.0,1200941589
414,7149,2.0,1100799993
68,8644,3.0,1158532939
237,1371,2.5,1410630057
279,68319,3.0,1506394252
28,2232,2.0,1242033049
142,595,4.0,838932132
448,2300,4.0,1019140840
590,2006,3.5,1258418127
381,3968,4.0,1168666239
600,2313,4.0,1237851678
232,4148,4.5,1171779063
104,2153,2.0,1049135578
414,106766,4.5,1485656707
162,300,3.0,836511263
66,7143,4.5,1093747894
571,328,2.0,966900228
606,4745,2.5,1179949104
382,2054,4.0,1515174669
141,296,4.0,1513130625
279,82459,3.0,1506395617
111,1569,3.5,1516155051
473,45501,3.5,1169351730
560,1111,3.5,1469677595
430,2762,5.0,962936613
357,2005,4.5,1348628273
560,71156,4.0,1469651767
534,71264,4.5,1459787997
51,4437,5.0,1230931996
226,170,5.0,1095663374
438,31225,3.5,1119828858
